Test ID,easting__N,northing__,GWD (m),L (m),Slope (%),Elevation,Target,CM pred
54833,1574664.91,5184847.07,2.893408775,1421.286345,5.26984024,5.839157581,0,TN
17684,1574670.105,5184598.287,2.535696745,1186.961111,1.676975608,3.941382408,0,TN
24603,1574673,5185635,2.401103497,2296.436517,7.587110043,4.577995777,0,TN
30362,1574673.518,5184569.402,3.471609831,1166.002714,1.840525389,5.065097332,0,TN
33309,1574674.066,5184660.251,2.612050533,1246.626587,1.209325314,4.160345078,0,TN
30363,1574675.387,5184588.512,2.535696745,1184.218954,4.375295162,4.220129967,0,TN
16614,1574677.281,5184151.762,2.676318645,784.2346562,0.792649806,3.924405098,0,TN
17043,1574677.45,5184239.198,2.929788828,905.0452479,0.311511785,4.170165062,0,TN
24616,1574678.992,5185661.233,2.314934254,2331.900381,4.739437103,4.245620251,1,TP
24626,1574679.892,5185673.628,2.631104469,2347.348439,4.739437103,4.408207417,1,TP
25578,1574681.47,5183892.91,2.906633139,426.6044787,0.47057417,3.845226526,0,TN
19728,1574684.282,5184496.558,3.89230442,1117.369594,1.481600285,5.224140167,0,TN
33302,1574684.376,5183961.392,2.738955975,521.2518988,0.438384473,3.720828056,0,TN
14095,1574684.669,5184106.71,2.609525442,722.0436304,0.347945511,3.926739693,0,TN
43864,1574685,5184609,2.535696745,1212.213236,1.147714376,4.265176773,0,TN
20765,1574685.994,5184343.997,3.209605217,1011.055127,0.343969852,4.394222736,0,TN
31786,1574686.61,5183947.851,2.738955975,502.559422,0.65233624,3.780832529,0,TN
21679,1574686.728,5184127.242,2.707437992,750.4289744,0.286488056,3.944466829,0,TN
31730,1574689.949,5184543.254,3.558971405,1162.012536,0.986701071,5.080103397,0,TN
43866,1574693,5184624,2.882202625,1233.831683,1.474443436,4.359389782,0,TN
17041,1574695.971,5183808.347,3.325103283,309.8721713,1.454816461,4.128000736,0,TN
33310,1574697.019,5184662.892,2.968218327,1272.72933,0.522672892,4.492754936,0,TN
37238,1574701.39,5183966.11,2.564404964,527.9042724,0.109101899,3.684477568,0,TN
43867,1574704,5184628,2.882202625,1249.060583,0.415309757,4.428450584,0,TN
42170,1574714.317,5184040.357,2.673271179,630.7441084,0.482285142,3.960633039,0,TN
42169,1574715.028,5184023.367,2.577825546,607.3068772,1.126954556,3.852157831,0,TN
51762,1574715.4,5184506.11,3.690231323,1159.946121,0.419947833,5.12630558,0,TN
16485,1574717.091,5183888.346,2.679376841,420.9950298,0.637583852,3.408006907,0,TN
15990,1574718.095,5184178.792,2.50945425,822.0954376,0.417550772,3.908593655,0,TN
37237,1574718.88,5183964.65,2.545396805,526.4275283,0.237998605,3.635785341,0,TN
51763,1574720.02,5184528.63,3.639251947,1183.208707,0.692569971,5.041728497,0,TN
42174,1574726.221,5184035.182,2.577825546,624.2664125,1.254753709,3.882302523,0,TN
15981,1574728.001,5184709.145,2.724889278,1347.006971,2.727549791,3.986845016,0,TN
5111,1574729.315,5183949.442,2.650286913,506.3107219,0.787621975,3.780403376,0,TN
4987,1574730.782,5184094.176,2.574997902,706.0032848,0.204415068,3.810188293,0,TN
51757,1574730.94,5184565.88,2.620576382,1225.942544,3.756338358,4.4007864,0,TN
9062,1574731.593,5184000.832,2.433289051,577.3585054,0.319667071,3.507996082,0,TN
37539,1574731.625,5184426.465,4.16069746,1119.848422,1.439658403,5.51086235,0,TN
15368,1574732.321,5184067.746,2.523055315,669.6763305,0.764919698,3.769884348,0,TN
19710,1574732.913,5184456.334,4.213303566,1142.393788,0.849806666,5.617717743,0,TN
40026,1574737.3,5183970.031,2.545396805,535.5266183,0.503344238,3.674363136,0,TN
27707,1574737.626,5184680.259,2.42194128,1330.781016,2.100207567,3.936254501,0,TN
11658,1574742.386,5184648.729,2.657910824,1308.186155,1.89653337,4.339684486,0,TN
17689,1574743.804,5183721.892,2.916163683,194.386941,0.271327198,3.594711781,0,TN
43909,1574743.86,5183880.94,2.557718754,413.4985834,0.443535119,3.476793051,0,TN
30823,1574748.12,5183844.352,2.709127426,363.5520692,1.881871343,3.626228094,0,TN
30088,1574748.722,5184093.35,2.560707331,706.6290431,0.530762851,3.81517601,0,TN
15334,1574749.633,5184137.279,2.538563251,767.2404486,0.677217305,3.786953449,0,TN
15340,1574750.093,5184117.087,2.538563251,739.4743366,0.246838376,3.762262344,0,TN
14291,1574750.193,5184643.301,2.657910824,1311.970036,1.89653337,4.230089188,0,TN
25593,1574755.91,5183950.79,2.414897442,511.0131446,0.437364519,3.257260323,0,TN
17685,1574758.151,5184567.531,2.339593172,1257.348804,0.771789253,3.584967375,1,TP
37216,1574758.54,5184601.26,2.679608822,1285.652599,2.033089161,3.924819231,0,TN
43910,1574759.16,5183879.44,2.557718754,413.0706849,0.805896401,3.439064264,0,TN
27706,1574761.019,5184695.006,2.256015301,1368.538565,1.743953347,3.654141426,0,TN
326,1574762.999,5183621.232,2.904788971,61.03114483,1.095720887,3.260736942,0,TN
16709,1574765.86,5184676.366,2.080112457,1357.297329,1.735026121,3.678820133,0,TN
25596,1574767.27,5183928.8,2.284446716,481.9367813,0.487580627,3.382602453,0,TN
24662,1574768,5184235,3.435189247,903.8202685,1.406968117,4.658279896,0,TN
40925,1574768.313,5184000.578,2.372965097,580.9278838,0.410891861,3.471477032,0,TN
25600,1574768.57,5183888.72,2.29829216,426.8629492,0.805896401,3.256010532,0,TN
24661,1574771.083,5184223.696,3.435189247,888.5787721,1.406968117,4.66616106,0,TN
37217,1574771.97,5184576.32,2.207987309,1279.861903,2.005173683,3.636214972,0,TN
29290,1574773.521,5184660.291,2.145335674,1351.729173,1.11151123,3.621831656,0,TN
30070,1574774.393,5184017.704,2.265338182,605.1711659,0.427215397,3.44389534,0,TN
37215,1574775.46,5184595.88,2.222278595,1299.856787,3.49989295,3.761726141,0,TN
21004,1574777.19,5184246.947,3.545594215,921.2614571,0.686706185,4.780100346,0,TN
26283,1574781.151,5184609.233,2.222278595,1317.161021,4.415491104,3.045900583,1,FN
37717,1574782.389,5184688.978,1.932134271,1385.947183,1.012625575,3.220850706,0,TN
40930,1574785.691,5184066.613,2.495510578,673.7741195,0.739021182,3.634741783,0,TN
14937,1574785.696,5183810.128,2.808924675,322.0837185,1.268155098,3.389278173,0,TN
7102,1574786,5183664,2.776341438,126.6803502,2.308951616,3.232783079,0,TN
25605,1574786.72,5183896.91,2.29829216,440.7804386,0.087204367,3.265287161,0,TN
30056,1574787.493,5183650.368,2.828829288,109.1971245,1.887878299,3.596894264,0,TN
25606,1574788,5183948.56,2.17341733,511.8042574,0.650430202,3.289845467,0,TN
25607,1574789.83,5183910.92,2.256750107,460.5403743,0.262372762,3.290063858,0,TN
308,1574789.975,5184744.133,1.62697649,1442.94991,1.752044439,3.184148312,0,TN
17687,1574790.749,5184518.801,3.189419746,1255.78322,2.063358068,4.417665958,0,TN
51779,1574790.99,5183629.57,3.553709269,82.93719185,2.412591457,4.07677269,0,TN
7114,1574793,5183663,3.515170813,128.0857054,2.013518333,4.131841183,0,TN
30068,1574793.333,5184012,2.300042868,599.7233524,0.290294677,3.514630556,0,TN
40924,1574793.721,5183994.787,2.300042868,576.1622576,0.786689281,3.596408367,0,TN
37716,1574793.925,5184696.018,2.012581348,1404.414584,0.92344743,3.327543497,0,FP
23008,1574794.959,5184446.389,3.890876293,1197.894981,2.487402678,5.219346523,0,TN
4672,1574795.258,5183985.01,2.276397228,563.011922,0.786689281,3.526780844,0,TN
4670,1574795.948,5183981.751,2.276397228,558.6658487,1.024576068,3.588308573,0,TN
17690,1574797.559,5183923.244,2.223678827,478.9374488,0.314555824,3.262832165,0,TN
17172,1574799.064,5184381.739,4.208920479,1109.279814,2.019291639,5.670392036,0,TN
37667,1574799.473,5184682.712,1.869002104,1398.95606,1.156476259,3.25291729,0,TN
19716,1574801.809,5184335.493,3.217299938,1045.870259,1.093229413,4.435784817,0,TN
6302,1574801.886,5183962.999,2.276397228,534.1371047,0.510830879,3.369033098,0,TN
50158,1574802.538,5184512.025,3.642927408,1264.420332,1.571152568,4.818581581,0,TN
37827,1574804.534,5184583.665,1.887654305,1322.045232,1.995474339,2.986094713,0,TN
8112,1574804.965,5184454.306,3.890876293,1209.872111,2.862681389,4.864379406,0,TN
49823,1574808.95,5183706.422,2.772020102,191.8503428,1.641531944,3.327112675,0,TN
345,1574809.489,5184671.142,1.869002104,1400.080746,1.664744854,2.951363564,0,TN
18800,1574812,5184052.993,2.277810335,659.1903832,0.88367939,3.587529659,0,TN
37828,1574812.3,5184604.129,1.472850323,1347.34889,0.92180413,2.913908958,0,TN
51780,1574813.76,5183622.43,2.90437746,82.6592002,1.260878563,3.92808795,0,TN
12316,1574814.467,5184153.524,2.958242416,797.3382775,0.765030026,4.305323601,0,TN
29371,1574816.666,5183761.648,2.927282572,268.0445175,1.453423262,3.496583939,0,TN
11693,1574817.671,5183920.016,2.267925978,479.6158622,0.471720278,3.319145918,0,TN
39556,1574817.937,5183875.711,2.487438679,420.0706435,1.006462336,3.445840836,0,TN
50435,1574818.053,5184514.526,3.231813908,1284.365685,3.764171124,4.721812248,0,TN
32583,1574818.831,5184566.06,2.155700684,1324.169937,2.709297657,3.594586134,0,TN
15989,1574822.962,5183743.435,2.927282572,246.1972394,0.665500879,3.589496613,0,TN
12094,1574823.354,5184147.947,2.958242416,791.2860911,0.866367877,4.272734642,0,TN
5116,1574823.944,5183640.435,2.913665771,111.185552,2.378964663,3.068399429,0,TN
54328,1574825.873,5183640.925,2.913665771,113.0139359,2.378964663,3.068399429,0,TN
24195,1574826.972,5184185.232,3.137529373,843.001072,0.711455286,4.431702137,0,TN
33644,1574829.296,5184664.72,1.830381155,1416.280872,1.33022511,3.237659931,0,TN
17686,1574831.59,5184679.879,1.830381155,1431.555789,1.299050808,3.057807207,0,TN
8154,1574836.461,5184025.675,2.36362505,627.804313,1.061830282,3.488179207,0,TN
17044,1574837.216,5184281.704,3.795939445,976.9873636,1.233049989,4.727307796,0,TN
11246,1574839.7,5184016,2.57058835,615.6593782,1.061830282,3.83524847,0,TN
29495,1574840.552,5184141.228,3.182329893,785.7511925,1.333266258,4.093307495,0,TN
25621,1574843.73,5183678.12,3.443651199,169.9524622,1.890133262,3.97274971,0,TN
4659,1574844.88,5183943.487,2.34391737,520.0905454,0.48492837,3.307854176,0,TN
25081,1574845.063,5183791.467,3.968050241,317.8723628,3.132066727,4.942009926,0,TN
39557,1574846.008,5183871.373,2.273425579,424.8952384,1.460605025,3.130101919,0,TN
17849,1574846.605,5183675.082,3.443651199,168.118511,1.890133262,3.978889465,0,TN
33645,1574847.325,5184687,2.223758221,1454.723818,1.070697188,3.332759142,0,TN
54329,1574848.864,5183646.923,2.65955472,135.6287637,2.044563055,2.964318514,0,TN
33231,1574849.739,5184582.058,1.991993427,1371.778879,0.740867853,3.111364603,0,TN
33647,1574851.544,5184661.583,2.179781914,1438.087181,0.583346963,3.355329514,0,FP
11238,1574851.8,5184029,2.57058835,636.8931966,1.500543952,3.716116428,0,TN
33232,1574852.162,5184626.046,1.873665929,1409.503197,1.893994689,3.194138527,0,TN
31738,1574852.223,5184653.034,2.179781914,1431.780642,0.323475957,3.252608776,0,TN
14094,1574852.398,5184351.098,3.461752415,1074.812719,5.268517971,4.636596203,0,TN
31737,1574852.649,5184625.604,1.873665929,1409.684275,1.893994689,3.155955076,0,TN
11231,1574854.7,5184043.8,2.318996906,657.7109374,1.500543952,3.689596415,0,TN
11247,1574855.5,5184006.5,2.55754137,607.9701745,2.361469746,3.951337576,0,TN
38910,1574855.79,5183828.208,2.955554962,370.7250703,2.826357365,3.657739401,0,TN
33646,1574856.672,5184674.152,2.223758221,1454.154721,1.070697188,3.381492138,0,TN
38893,1574859.786,5183840.439,2.541200399,388.4716349,1.757889152,3.453446388,0,TN
4433,1574860.002,5184516.553,2.242312908,1302.830116,2.218096018,3.125416279,0,TN
15364,1574860.069,5183686.428,3.443651199,190.8319419,2.094110489,4.036992073,1,FN
18753,1574861.763,5184427.328,3.533554554,1180.90928,4.746737957,4.009711266,0,TN
25082,1574863.756,5183775.173,3.242346525,304.05811,2.20830965,4.697836399,0,TN
38410,1574867.679,5184671.305,2.497693539,1463.926008,0.872886658,3.58878231,0,TN
25634,1574870.64,5183682.55,3.019168377,193.2254526,3.061359406,3.864906073,0,TN
38894,1574871.934,5183834.932,2.855826855,385.8419459,1.816773415,3.505211592,0,TN
30455,1574873.219,5183772.41,3.242346525,305.2897347,6.179567814,3.311445951,0,TN
49782,1574874,5183618,2.825331211,120.043963,2.412233591,3.315943241,0,TN
309,1574874.002,5184738.087,1.874397755,1526.910112,2.120758057,3.211465359,0,TN
20962,1574876.485,5184069.498,2.279867649,699.5178382,0.382049769,3.576999903,0,TN
50489,1574878.55,5183903.702,2.559135199,479.5965898,0.618674874,3.635295391,0,TN
38408,1574879.849,5184660.356,2.210155964,1468.324902,1.075266957,3.444504738,0,TN
33229,1574880.355,5183636.611,2.825331211,145.7013832,1.415356517,3.145268202,0,TN
41156,1574881.482,5183811.2,3.798783541,359.2568036,2.86651659,3.629327536,0,TN
30830,1574881.814,5183938.809,2.539222479,527.6552042,0.311062664,3.64517498,0,TN
25638,1574885,5184654.5,2.210155964,1469.205909,1.286064744,3.294915199,0,TN
21600,1574886.207,5184234.344,3.657607079,924.0657998,2.852097988,4.478114128,0,TN
25639,1574886.4,5184642.5,2.210155964,1461.007373,1.538540602,3.167991638,0,TN
33233,1574886.725,5184594.523,1.663293481,1414.446609,1.340563297,2.885632992,0,TN
11250,1574887.3,5184029.2,2.696012497,650.1452989,1.807427764,3.7769835,0,TN
38409,1574887.779,5184680.376,2.418100834,1493.604106,0.892346978,3.508438587,0,FP
26304,1574887.883,5183785.792,2.719977379,330.3603293,5.241985321,4.373398304,1,TP
25640,1574889.1,5184621,1.777225256,1446.900623,1.800109267,2.607034206,0,TN
37661,1574889.29,5184427.055,2.847190857,1186.335722,4.498086452,4.299167156,0,TN
4673,1574889.964,5183855.542,2.793143749,420.7603235,1.787885785,3.60893178,0,TN
25641,1574891.02,5184563.63,1.876307487,1373.049685,0.674715757,2.956317186,0,TN
44067,1574894.351,5183894.099,2.553871155,473.1259542,0.365354419,3.545494318,0,TN
25642,1574896,5184544.48,1.846273303,1347.933686,0.434410363,2.887772322,0,TN
37761,1574897.103,5184413.424,2.847190857,1169.666899,4.500645161,4.408632755,0,TN
30067,1574897.132,5183885.558,2.564847946,463.1626511,0.365354419,3.492730379,0,TN
30454,1574897.333,5183766.503,2.719977379,312.4675369,1.317648053,3.275742531,1,FN
37329,1574897.55,5184602.1,1.679185629,1426.945988,0.414481968,2.756602049,0,TN
310,1574897.921,5184856.131,0.917274952,1606.240035,1.671258569,1.761500955,1,FN
40470,1574897.979,5183918.435,2.574343204,506.6667248,0.541842461,3.562142849,0,TN
40441,1574898.894,5184583.685,1.876307487,1402.069212,0.533279121,2.897650719,0,TN
37662,1574899.692,5184434.646,2.847190857,1199.152144,7.270614624,3.159520149,0,TN
