,Test ID,easting__N,northing__,GWD (m),Elevation,L (m),Slope (%),Displ (m),PGA (g),Qtncs_med,Qtncs_std,Ic_med,Ic_std
553,52385.0,1575452.27,5182082.96,2.8738129138946533,5.191178321838379,1461.4064991750736,1.311167359352112,0.3867220282554629,0.482748657464981,123.24683471722555,16.68773412445718,1.817956802618016,0.29010912723139154
554,50088.0,1575468.3535199997,5181972.10618,2.616901874542236,4.995900630950928,1517.065992040498,0.631670653820038,0.277602881193161,0.486209481954575,120.54985905926209,12.331129405002557,1.789902695269574,0.1617153155536911
555,40256.0,1575468.64738,5182366.44039,1.9297331571578984,3.761540174484253,1409.3721726383606,1.8566488027572632,0.474041491746902,0.475900769233704,101.79080398988606,23.873648908476287,1.749785402748571,0.25661149831253605
556,56300.0,1575473.07,5182115.06,2.928016662597656,4.960875511169434,1479.9506532809235,1.147976160049438,0.493284434080124,0.482748657464981,118.48759473124096,24.407194526112548,1.8804583011251352,0.3915221566242981
557,40480.0,1575473.32785,5182403.36974,1.923290491104126,3.601454973220825,1360.5761437396854,1.458324670791626,0.383210062980652,0.475900769233704,113.99085351883863,13.70597719687117,1.9515235636238581,0.12128320303278525
558,22264.0,1575474.95,5181426.05,3.6969633102416983,7.2620439529418945,1737.2828732051817,2.478512763977051,0.0,0.5035640597343439,135.92390744756176,18.14771620396111,1.545609859801205,0.08614013888677471
559,11544.0,1575475.85137,5182076.675009999,2.663243055343628,4.763315677642822,1494.99104193346,1.2087829113006592,0.40487781167030296,0.486209481954575,107.98363342756792,24.035935381713177,1.7167883470858716,0.24656464212955145
560,51805.0,1575479.91,5182527.09,1.748735427856445,3.19835352897644,1195.6912615071546,1.065699696540833,0.128049552440643,0.47249835729599,148.13008796375877,19.482068275054605,1.572196725452348,0.11599473421985446
561,50090.0,1575480.31625,5181816.777,3.062190055847168,5.7710466384887695,1570.798840223626,0.333600401878357,0.461487412452698,0.493230819702148,113.00491505840998,20.216166978403802,1.6756608376193962,0.13062883295411726
562,22265.0,1575487.04,5181434.98,3.6969633102416983,7.240934371948242,1746.4675374982032,1.8895057439804084,0.002671035705134,0.5060928463935851,143.9764652152073,25.16929718701434,1.5933355850402935,0.10381241579446862
563,50091.0,1575487.42704,5181750.72227,2.5203604698181152,5.294862747192383,1598.0732320670807,1.0063239336013792,0.321150630712509,0.495766431093216,129.24953415323864,22.284406500173613,1.6773385189972478,0.13071394567473385
564,40257.0,1575487.64067,5182330.455019999,2.0947008132934566,3.769152402877808,1463.2566770088265,1.1283278465271,0.553217113018036,0.478464514017105,125.79317330618404,20.01991402478546,1.6883788628613527,0.246089612557032
565,11326.0,1575491.0707,5182271.13853,2.154606819152832,3.818381547927856,1475.7855449106264,1.9109259843826287,0.5963395237922671,0.481879949569702,126.66274896100471,21.972500778087703,1.7215503945536763,0.3142279492223443
566,4484.0,1575493.85345,5182534.7345,1.8513100147247308,3.223434209823608,1190.1545784210045,0.355389177799225,0.091118194162846,0.475056380033493,127.40893670946213,19.56187132092037,1.5257947437439374,0.15737504896312116
567,37109.0,1575495.54,5182157.61,2.649322509765625,4.451960563659668,1499.5084804456949,1.4942437410354608,0.60478001832962,0.48531049489975,127.35596846442672,38.53204186664001,1.6123916691678857,0.24298927123025
568,22263.0,1575495.96,5181427.24,4.020071506500243,7.372995853424072,1762.266015880567,1.9922770261764533,0.0,0.5060928463935851,123.96326223799744,19.089485348047653,1.657062745379242,0.1179547714080364
569,25791.0,1575499.3,5182077.86,2.789666891098022,4.72791051864624,1526.1876030271847,2.240113973617554,0.429248720407486,0.48531049489975,164.9817898570543,23.399725203958464,1.8275427390649723,0.1712896919034233
570,43659.0,1575509.0,5182147.0,2.649322509765625,4.606830596923828,1520.2397744339605,1.185883641242981,0.528540730476379,0.48531049489975,121.06762968533148,22.969403128311612,1.6941174250194981,0.2249408890729455
571,25798.0,1575509.1299999997,5182094.17,2.655136585235596,4.676248550415039,1534.5884748955689,1.5456053018569953,0.4376315772533421,0.48531049489975,78.27061120290627,19.90358967043949,2.3963018945701977,0.29647736760612103
572,5069.0,1575510.54914,5182434.24454,1.9503586292266848,3.557102918624878,1330.3928143949104,1.509003758430481,0.314817786216736,0.475056380033493,102.28908502769579,26.610072467163693,1.7510506211705663,0.15706967932620178
573,5261.0,1575513.5678299998,5182439.1426800005,1.972355365753174,3.492268323898315,1324.8562883941688,0.664817750453949,0.314817786216736,0.475056380033493,118.1094648846132,22.26720817578288,1.6090279930805331,0.20731973388652275
