Test ID,easting__N,northing__,GWD (m),Elevation,L (m),Slope (%),PGA (g),Target,CM pred
34644.000000000000000,1574945.000000000000000,5184754.000000000000000,1.476430535316467,2.226715087890625,1483.939768714867341,1.819276213645935,0.397167950868607,1,TP
34645.000000000000000,1574951.600000000093132,5184724.799999999813735,1.961728096008301,2.652082204818726,1458.742883773353242,2.604229688644409,0.400288015604019,1,TP
38708.000000000000000,1574951.669999999925494,5184724.799999999813735,1.961728096008301,2.652082204818726,1458.654985239004873,2.604229688644409,0.400288015604019,1,TP
33252.000000000000000,1574953.194499999983236,5184614.983719999901950,1.540102124214172,2.598547697067261,1401.293912598001498,0.959357500076294,0.403432130813599,0,TN
43740.000000000000000,1574963.729999999981374,5184817.370000000111759,1.417785644531250,2.261754274368286,1501.037692250991313,0.181400254368782,0.397167950868607,1,TP
43738.000000000000000,1574964.330000000074506,5184790.790000000037253,1.368857860565186,1.986423015594482,1482.893282719897115,1.211723089218140,0.397167950868607,1,TP
17688.000000000000000,1574970.593499999959022,5184787.808770000003278,1.368857860565186,1.952880024909973,1473.343825713772958,1.211723089218140,0.397167950868607,1,TP
17643.000000000000000,1574978.513279999839142,5184633.639240000396967,1.639913082122803,2.458633899688721,1376.920907713346878,1.608679294586182,0.400288015604019,0,TN
40731.000000000000000,1574979.000000000000000,5184827.000000000000000,1.417785644531250,2.259871006011963,1489.232213489852711,0.515836894512177,0.397167950868607,1,TP
40011.000000000000000,1574980.703289999859408,5184675.613450000062585,2.287996053695679,3.104908943176270,1395.079051009429577,1.182376384735107,0.400288015604019,1,FN
25663.000000000000000,1574981.260000000009313,5184545.620000000111759,1.862063407897949,2.806289196014404,1336.449126650953076,0.235652625560760,0.403432130813599,0,TN
